Algorithm,FS Method,Balancing Method,Normalized,class,accuracy,precision,recall,f1-score,support
Knn 1,Fisher Score,Random Over Sampler,MinMax Scaler,1,,0.8,0.6153846153846154,0.6956521739130435,26
Knn 2,Fisher Score,Random Over Sampler,MinMax Scaler,0,,0.36363636363636365,0.8,0.5000000000000001,5
Knn 2,Fisher Score,Random Over Sampler,MinMax Scaler,1,,0.95,0.7307692307692307,0.8260869565217392,26
Knn 3,Fisher Score,Random Over Sampler,MinMax Scaler,0,,0.25,0.5,0.3333333333333333,4
Knn 3,Fisher Score,Random Over Sampler,MinMax Scaler,1,,0.9090909090909091,0.7692307692307693,0.8333333333333333,26
Knn 4,Fisher Score,Random Over Sampler,MinMax Scaler,0,,0.18181818181818182,0.5,0.26666666666666666,4
Knn 4,Fisher Score,Random Over Sampler,MinMax Scaler,1,,0.8947368421052632,0.6538461538461539,0.7555555555555555,26
Knn 5,Fisher Score,Random Over Sampler,MinMax Scaler,0,,0.16666666666666666,0.5,0.25,4
Knn 5,Fisher Score,Random Over Sampler,MinMax Scaler,1,,0.8888888888888888,0.6153846153846154,0.7272727272727274,26
Knn mean,Fisher Score,Random Over Sampler,MinMax Scaler,0,0.6513978494623656,0.21060606060606063,0.5,0.29500000000000004
Knn mean,Fisher Score,Random Over Sampler,MinMax Scaler,1,0.6513978494623656,0.8885433280170123,0.676923076923077,0.7675801493192799
Knn 1,Fisher Score,Random Over Sampler,Not Normalized,0,,0.09090909090909091,0.2,0.12500000000000003,5
Knn 1,Fisher Score,Random Over Sampler,Not Normalized,1,,0.8,0.6153846153846154,0.6956521739130435,26
Knn 2,Fisher Score,Random Over Sampler,Not Normalized,0,,0.36363636363636365,0.8,0.5000000000000001,5
Knn 2,Fisher Score,Random Over Sampler,Not Normalized,1,,0.95,0.7307692307692307,0.8260869565217392,26
Knn 3,Fisher Score,Random Over Sampler,Not Normalized,0,,0.25,0.5,0.3333333333333333,4
